	Num	Sequence	Age	Class
0	1	00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000001000000 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000001000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000100000000000000 00000001000000000000 00100000000000000000	22	0 0 0 0 0 0 0 1
1	2	00010000000000000000 00000001000000000000 00010000000000000000 00000000000000100000 10000000000000000000 00000000100000000000 00000000000001000000 00000000100000000000	54	0 0 0 0 1 0 0 0
2	3	01000000000000000000 00000000001000000000 00000000000000000010 00000000000001000000 00000000000000000001 00000000100000000000 00000000000000000001 00000000000001000000 00000000100000000000 00100000000000000000	23	0 0 0 0 0 0 0 1
3	4	00001000000000000000 00000000100000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000000010000000000 00000100000000000000 00000000000001000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000100000000000 00001000000000000000 00000100000000000000 00000000000100000000 00001000000000000000 00000100000000000000 00000001000000000000 00100000000000000000	22	0 0 0 0 0 0 0 1
4	5	00010000000000000000 00000000000000100000 00000000100000000000 01000000000000000000 00000000001000000000 00000000000000000010 00000000000001000000 00000100000000000000	30	0 0 0 0 0 0 1 0
5	6	01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00100000000000000000	24	0 0 0 0 0 0 0 1
6	7	00000000010000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000000000000010 00000000000000010000 00000000010000000000 00000000010000000000 00100000000000000000	54	0 0 0 0 1 0 0 0
7	8	00000000000000000001 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000000010000000000 00000000000010000000 01000000000000000000 00000000000000000100 00000000100000000000 00000000000001000000 00000000000010000000 01000000000000000000 01000000000000000000 00000000010000000000 00000000000010000000 00000000100000000000 00000000000010000000	21	0 0 0 0 0 0 0 1
8	9	00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000000010000000 00000100000000000000	22	0 0 0 0 0 0 0 1
9	10	00000000000000000100 01000000000000000000 00000000000000010000 00000000000001000000 00100000000000000000	26	0 0 0 0 0 0 1 0
10	11	00010000000000000000 00000001000000000000 00010000000000000000 00000000000001000000 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000001 01000000000000000000	32	0 0 0 0 0 0 1 0
11	12	00000000100000000000 00000000100000000000 00010000000000000000 01000000000000000000 00000000100000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000010000000000 00000000000010000000 00000000100000000000 00000000000010000000 00000100000000000000 00000000010000000000 00000000000000000001 00000000000001000000 00000000100000000000 01000000000000000000 00000000100000000000 00000100000000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	32	0 0 0 0 0 0 1 0
12	13	00000000000000000001 00000000000001000000	38	0 0 0 0 0 1 0 0
13	14	00000000000001000000 00000000000001000000 00100000000000000000	42	0 0 0 0 0 1 0 0
14	15	00010000000000000000 00000000010000000000 00000000010000000000 01000000000000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000100000000 01000000000000000000 00000000000001000000 00000000000001000000 00000000000000000010 00000000000000010000 00000000100000000000 00000000000010000000 00000000000001000000 00000000010000000000 00001000000000000000 00000001000000000000 00100000000000000000	34	0 0 0 0 0 0 1 0
15	16	00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000100000000000 00000000000000000010 00000000010000000000 00000000000010000000 00000000100000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
16	17	00000000000010000000 00000000000001000000 01000000000000000000 00000000001000000000 00000010000000000000 00000000000000000100 01000000000000000000 00000000000000000010 00100000000000000000	20	0 0 0 0 0 0 0 1
17	18	00000000000010000000 00000000000000000001 00000000000000000001 00000000000001000000 00000000000000000001 01000000000000000000 00000000000000000001 00000000000001000000 00000000000000000010 00000000000001000000 00000000000000000100 00010000000000000000 00000001000000000000 00100000000000000000	18	0 0 0 0 0 0 0 1
18	19	00000000000001000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 01000000000000000000 00000000000001000000 00001000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00100000000000000000	37	0 0 0 0 0 1 0 0
19	20	00000000000000000010 00000000000000000001 00000100000000000000 00000001000000000000 00100000000000000000	50	0 0 0 0 1 0 0 0
20	21	00000000000000010000 00000000010000000000 00000000010000000000 00000000000001000000 01000000000000000000 01000000000000000000	29	0 0 0 0 0 0 1 0
21	22	00000000000000000001 00000000000001000000 00000000100000000000 00000000000001000000 00000000000000001000 00000000000000000100 00000000100000000000 01000000000000000000 00000000000000010000 00001000000000000000 00000000100000000000 00001000000000000000 00000000100000000000 00001000000000000000 00000001000000000000 00001000000000000000 00000100000000000000 00000001000000000000 00100000000000000000	19	0 0 0 0 0 0 0 1
22	23	01000000000000000000 00000000000100000000 00000000000000000010 00000000000001000000 00000100000000000000 00000100000000000000 00000100000000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000010000000000 00000000010000000000 00100000000000000000	40	0 0 0 0 0 1 0 0
23	24	00010000000000000000 00000000010000000000 00000000000001000000 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000010000000000 00000000000000001000 00000000000001000000 00000000100000000000 00000000000000000001 00000000000100000000 00000000000001000000 00000000100000000000 00000000000000000010 00000000010000000000 00000100000000000000 00000100000000000000 00000001000000000000 00100000000000000000	20	0 0 0 0 0 0 0 1
24	25	00000000001000000000 01000000000000000000 00000000000000010000 00000000000001000000 00000000100000000000 00100000000000000000	43	0 0 0 0 0 1 0 0
25	26	00000000010000000000 00000000000001000000 00000000000001000000 00010000000000000000 00000000000001000000 00000000000001000000 00000000100000000000 00100000000000000000	66	0 0 1 0 0 0 0 0
26	27	00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000010 00000000001000000000 01000000000000000000 01000000000000000000 00000000000000000100 01000000000000000000 00000000000100000000 00000000000000001000 01000000000000000000 00000000000000010000 00000000000001000000 00000100000000000000 00000001000000000000 00100000000000000000	30	0 0 0 0 0 0 1 0
27	28	00000000001000000000 01000000000000000000 00000000000000000010 00000000010000000000 00000000010000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000010000000000 00000000100000000000 00000000010000000000 00100000000000000000	61	0 0 0 1 0 0 0 0
28	29	00010000000000000000 00000001000000000000 00010000000000000000 00000001000000000000 00010000000000000000 00000000010000000000 00000000010000000000 00000100000000000000 00000100000000000000	27	0 0 0 0 0 0 1 0
29	30	00010000000000000000 00000000000000000100 00000000000000000001 00000000000001000000 00000000001000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000000010000 00000000000001000000 00000100000000000000	30	0 0 0 0 0 0 1 0
30	31	00000000010000000000 00000100000000000000 00000000000001000000 00000100000000000000 00000000000000000010 00000000000001000000 00000000100000000000 01000000000000000000 00000000010000000000 01000000000000000000 00000000000000000001 00000000000000000001 00000000000001000000 00100000000000000000	27	0 0 0 0 0 0 1 0
31	32	00000000000001000000 01000000000000000000 00000000001000000000 01000000000000000000 00100000000000000000	28	0 0 0 0 0 0 1 0
32	33	00010000000000000000 00000000010000000000 00000010000000000000 00000000010000000000 00000000000001000000 00000000100000000000 00000000100000000000 00000100000000000000	27	0 0 0 0 0 0 1 0
33	34	00010000000000000000 00000000000000000010 00000100000000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000000000001	36	0 0 0 0 0 1 0 0
34	35	00010000000000000000 00000000000000100000 01000000000000000000 00000000001000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000001000000 00000000000001000000 00000000100000000000 01000000000000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000000100000000 00000000000000000100 00000000001000000000 01000000000000000000 00000000000000000010 00000000000000010000 00000000010000000000 00000000100000000000	42	0 0 0 0 0 1 0 0
35	36	00000000000000010000 00000000010000000000 01000000000000000000 00000000000010000000 00000000000000000010 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000010000000000 00000000100000000000	25	0 0 0 0 0 0 0 1
36	37	00010000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000000000100 00000000100000000000 00000000000000010000 00000000000000000010 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000000001 00000000000001000000 00000000100000000000	29	0 0 0 0 0 0 1 0
37	38	00010000000000000000 00000000010000000000 00000000001000000000 01000000000000000000 00000000000100000000 01000000000000000000 00000000001000000000 01000000000000000000 00000000000000000100 00000000000001000000 01000000000000000000 01000000000000000000 00000000001000000000 00000000000000000001 00000000000001000000 10000000000000000000	29	0 0 0 0 0 0 1 0
38	39	00000000100000000000 00000000001000000000 01000000000000000000 00000000000000010000 00000000000000000001 00000000000001000000 00000000000000000010 00000000100000000000 00000000100000000000 00000000010000000000 00000000010000000000 00000000100000000000 00000000100000000000 00000000000000000010 00001000000000000000 00000000100000000000 00100000000000000000	36	0 0 0 0 0 1 0 0
39	40	00010000000000000000 00000000000000001000 00000000000000000001 00000000000000010000 00000000010000000000 00000000000000010000 00000000010000000000 00000000010000000000	28	0 0 0 0 0 0 1 0
40	41	01000000000000000000 00000000000000000001 00000000000000001000 01000000000000000000 00000000100000000000 01000000000000000000 00000000000000000001 00000000000001000000	29	0 0 0 0 0 0 1 0
41	42	00000000010000000000 00000000000000010000 01000000000000000000 00000000000000000010 00000000000001000000 00000000000000001000 00000000000001000000 00000000000000000010 00000000000010000000 00000000000001000000 00000000100000000000 00000000100000000000 00000000100000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000100000000000000 00000001000000000000 00001000000000000000 00000001000000000000 00100000000000000000	45	0 0 0 0 0 1 0 0
42	43	00000100000000000000 00000000000000010000 00000000000001000000 00000000000000000010 00000000000001000000 00000000000001000000 00000000000000001000 00000000000000000001 00000000000001000000 00000100000000000000 00000001000000000000 00100000000000000000	31	0 0 0 0 0 0 1 0
43	44	00000000000000000100 01000000000000000000 00000000000000000001 00000000000001000000 00000000100000000000 00000000000000000001 00000000010000000000 00000000010000000000 00000000100000000000 00000000000000000010 00000000010000000000 00000000100000000000 00000000000000000100 00000000000000000001 00000000010000000000 00000000000001000000 00000000100000000000 00000000000000000100 00000000000000000001 00000000010000000000 00000000000001000000 00000000100000000000 00100000000000000000	33	0 0 0 0 0 0 1 0
